  9809     SPring-8 14b2 
 Fe-K_Fe-foil_S  12.06.21 07:32 - 12.06.21 07:36
 Fe-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09889 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   282.500   132.700
  16.83032  16.83264     0.051     13540     13054
  16.82948  16.83194     0.051     13553     13068
  16.82864  16.83123     0.051     13550     13067
  16.82780  16.83050     0.051     13555     13075
  16.82696  16.82975     0.051     13559     13083
  16.82612  16.82890     0.051     13559     13087
  16.82528  16.82798     0.051     13565     13102
  16.82444  16.82708     0.051     13560     13100
  16.82360  16.82617     0.051     13574     13110
  16.82276  16.82526     0.051     13568     13112
  16.82192  16.82441     0.051     13572     13124
  16.82108  16.82358     0.051     13575     13129
  16.82024  16.82279     0.051     13573     13126
  16.81940  16.82207     0.051     13580     13143
  16.81856  16.82137     0.051     13577     13142
  16.81772  16.82063     0.051     13589     13159
  16.81688  16.81988     0.051     13580     13155
  16.81604  16.81904     0.051     13592     13171
  16.81520  16.81812     0.051     13588     13169
  16.81436  16.81721     0.051     13588     13176
  16.81352  16.81630     0.051     13602     13188
  16.81268  16.81538     0.051     13591     13182
  16.81184  16.81452     0.051     13603     13198
  16.81100  16.81369     0.051     13593     13186
  16.81016  16.81289     0.051     13610     13210
  16.80932  16.81217     0.051     13606     13209
  16.80848  16.81148     0.051     13608     13209
  16.80764  16.81075     0.051     13613     13224
  16.80680  16.81000     0.051     13606     13220
  16.80596  16.80919     0.051     13611     13237
  16.80512  16.80828     0.051     13613     13234
  16.80428  16.80737     0.051     13618     13246
  16.80344  16.80647     0.051     13616     13246
  16.80260  16.80555     0.051     13617     13253
  16.80176  16.80468     0.051     13624     13261
  16.80092  16.80385     0.051     13619     13260
  16.80008  16.80303     0.051     13630     13276
  16.79924  16.80229     0.051     13620     13272
  16.79840  16.80159     0.051     13631     13285
  16.79756  16.80087     0.051     13626     13289
  16.79672  16.80013     0.051     13633     13290
  16.79588  16.79934     0.051     13633     13298
  16.79504  16.79844     0.051     13637     13300
  16.79420  16.79752     0.051     13645     13316
  16.79336  16.79662     0.051     13635     13313
  16.79252  16.79569     0.051     13648     13329
  16.79168  16.79480     0.051     13639     13327
  16.79084  16.79397     0.051     13647     13336
  16.79000  16.79315     0.051     13653     13346
  16.78916  16.79239     0.051     13652     13345
  16.78832  16.79169     0.051     13659     13359
  16.78748  16.79097     0.051     13655     13357
  16.78664  16.79022     0.051     13663     13370
  16.78580  16.78943     0.051     13656     13367
  16.78496  16.78854     0.051     13665     13380
  16.78412  16.78762     0.051     13669     13388
  16.78328  16.78672     0.051     13667     13394
  16.78244  16.78580     0.051     13673     13400
  16.78160  16.78492     0.051     13671     13403
  16.78076  16.78410     0.051     13680     13415
  16.77992  16.78329     0.051     13673     13412
  16.77908  16.78252     0.051     13683     13423
  16.77824  16.78183     0.051     13683     13432
  16.77740  16.78112     0.051     13683     13427
  16.77656  16.78038     0.051     13691     13442
  16.77572  16.77963     0.051     13685     13445
  16.77488  16.77877     0.051     13698     13459
  16.77404  16.77785     0.051     13691     13456
  16.77320  16.77696     0.051     13703     13470
  16.77236  16.77604     0.051     13698     13473
  16.77152  16.77514     0.051     13700     13473
  16.77068  16.77430     0.051     13709     13490
  16.76984  16.77348     0.051     13703     13489
  16.76900  16.77269     0.051     13715     13498
  16.76816  16.77199     0.051     13711     13502
  16.76732  16.77128     0.051     13714     13510
  16.76648  16.77055     0.051     13718     13517
  16.76564  16.76980     0.051     13713     13515
  16.76480  16.76895     0.051     13724     13534
  16.76396  16.76803     0.051     13716     13531
  16.76312  16.76713     0.051     13729     13546
  16.76228  16.76622     0.051     13722     13542
  16.76144  16.76531     0.051     13728     13558
  16.76060  16.76446     0.051     13729     13558
  16.75976  16.76363     0.051     13731     13570
  16.75892  16.76283     0.051     13742     13573
  16.75808  16.76210     0.051     13732     13576
  16.75724  16.76140     0.051     13746     13591
  16.75640  16.76067     0.051     13737     13592
  16.75556  16.75993     0.051     13750     13602
  16.75472  16.75910     0.051     13746     13603
  16.75388  16.75819     0.051     13749     13610
  16.75304  16.75729     0.051     13765     13628
  16.75220  16.75640     0.051     13744     13617
  16.75136  16.75548     0.051     13766     13640
  16.75052  16.75462     0.051     13757     13637
  16.74968  16.75379     0.051     13765     13649
  16.74884  16.75299     0.051     13763     13649
  16.74800  16.75225     0.051     13766     13657
  16.74716  16.75156     0.051     13774     13664
  16.74632  16.75083     0.051     13774     13669
  16.74548  16.75008     0.051     13784     13681
  16.74464  16.74929     0.051     13775     13675
  16.74380  16.74838     0.051     13781     13689
  16.74296  16.74746     0.051     13790     13696
  16.74212  16.74656     0.051     13786     13703
  16.74128  16.74564     0.051     13795     13716
  16.74044  16.74476     0.051     13783     13713
  16.73960  16.74393     0.051     13803     13730
  16.73876  16.74312     0.051     13797     13729
  16.73792  16.74236     0.051     13800     13741
  16.73708  16.74167     0.051     13804     13741
  16.73624  16.74094     0.051     13807     13752
  16.73540  16.74020     0.051     13816     13761
  16.73456  16.73942     0.051     13803     13757
  16.73372  16.73852     0.051     13826     13777
  16.73288  16.73760     0.051     13812     13772
  16.73204  16.73670     0.051     13824     13783
  16.73120  16.73577     0.051     13822     13786
  16.73036  16.73487     0.051     13826     13794
  16.72952  16.73404     0.051     13825     13805
  16.72868  16.73322     0.051     13825     13803
  16.72784  16.73245     0.051     13838     13820
  16.72700  16.73175     0.051     13829     13813
  16.72616  16.73103     0.051     13840     13834
  16.72532  16.73029     0.051     13839     13836
  16.72448  16.72952     0.051     13838     13839
  16.72364  16.72864     0.051     13844     13858
  16.72280  16.72772     0.051     13842     13847
  16.72196  16.72683     0.051     13856     13866
  16.72112  16.72591     0.051     13846     13862
  16.72028  16.72501     0.051     13856     13879
  16.71944  16.72417     0.051     13863     13887
  16.71860  16.72335     0.051     13859     13890
  16.71776  16.72257     0.051     13867     13897
  16.71692  16.72187     0.051     13861     13896
  16.71608  16.72115     0.051     13875     13916
  16.71524  16.72042     0.051     13865     13908
  16.71440  16.71966     0.051     13880     13930
  16.71356  16.71879     0.051     13875     13933
  16.71272  16.71787     0.051     13872     13934
  16.71188  16.71697     0.051     13883     13947
  16.71104  16.71606     0.051     13876     13945
  16.71020  16.71515     0.051     13885     13958
  16.70936  16.71431     0.051     13877     13952
  16.70852  16.71348     0.051     13893     13968
  16.70768  16.71269     0.051     13889     13973
  16.70684  16.71198     0.051     13895     13975
  16.70600  16.71127     0.051     13903     13993
  16.70516  16.71053     0.051     13900     13991
  16.70432  16.70978     0.051     13909     14011
  16.70348  16.70894     0.051     13900     14001
  16.70264  16.70801     0.051     13914     14022
  16.70180  16.70710     0.051     13908     14021
  16.70096  16.70618     0.051     13911     14028
  16.70012  16.70526     0.051     13918     14037
  16.69928  16.70441     0.051     13919     14044
  16.69844  16.70358     0.051     13920     14056
  16.69760  16.70278     0.051     13915     14048
  16.69676  16.70207     0.051     13931     14069
  16.69592  16.70137     0.051     13925     14068
  16.69508  16.70064     0.051     13928     14070
  16.69424  16.69989     0.051     13937     14083
  16.69340  16.69907     0.051     13931     14084
  16.69256  16.69814     0.051     13939     14096
  16.69172  16.69724     0.051     13932     14093
  16.69088  16.69633     0.051     13944     14111
  16.69004  16.69541     0.051     13937     14109
  16.68920  16.69455     0.051     13941     14117
  16.68836  16.69372     0.051     13951     14130
  16.68752  16.69292     0.051     13947     14131
  16.68668  16.69218     0.051     13956     14140
  16.68584  16.69148     0.051     13948     14132
  16.68500  16.69075     0.051     13960     14154
  16.68416  16.69001     0.051     13957     14155
  16.68332  16.68921     0.051     13957     14163
  16.68248  16.68830     0.051     13966     14169
  16.68164  16.68739     0.051     13962     14177
  16.68080  16.68649     0.051     13971     14188
  16.67996  16.68557     0.051     13970     14188
  16.67912  16.68469     0.051     13980     14205
  16.67828  16.68386     0.051     13975     14204
  16.67744  16.68305     0.051     13977     14211
  16.67660  16.68230     0.051     13980     14223
  16.67576  16.68160     0.051     13977     14223
  16.67492  16.68088     0.051     13991     14236
  16.67408  16.68013     0.051     13989     14239
  16.67324  16.67933     0.051     13994     14253
  16.67240  16.67842     0.051     13994     14251
  16.67156  16.67750     0.051     13997     14266
  16.67072  16.67660     0.051     14005     14270
  16.66988  16.67568     0.051     14000     14269
  16.66904  16.67479     0.051     14010     14286
  16.66820  16.67396     0.051     14002     14281
  16.66736  16.67314     0.051     14015     14300
  16.66652  16.67238     0.051     14009     14298
  16.66568  16.67169     0.051     14015     14313
  16.66484  16.67097     0.051     14018     14316
  16.66400  16.67023     0.051     14012     14316
  16.66316  16.66946     0.051     14030     14333
  16.66232  16.66857     0.051     14016     14329
  16.66148  16.66765     0.051     14033     14349
  16.66064  16.66675     0.051     14025     14346
  16.65980  16.66583     0.051     14035     14357
  16.65896  16.66494     0.051     14038     14366
  16.65812  16.66410     0.051     14034     14369
  16.65728  16.66327     0.051     14049     14379
  16.65644  16.66251     0.051     14040     14380
  16.65560  16.66181     0.051     14052     14398
  16.65476  16.66110     0.051     14048     14393
  16.65392  16.66036     0.051     14055     14403
  16.65308  16.65960     0.051     14052     14409
  16.65224  16.65873     0.051     14055     14418
  16.65140  16.65780     0.051     14065     14427
  16.65056  16.65691     0.051     14057     14425
  16.64972  16.65599     0.051     14070     14446
  16.64888  16.65508     0.051     14060     14442
  16.64804  16.65424     0.051     14067     14449
  16.64720  16.65341     0.051     14074     14458
  16.64636  16.65263     0.051     14065     14459
  16.64552  16.65191     0.051     14081     14472
  16.64468  16.65120     0.051     14076     14469
  16.64384  16.65046     0.051     14082     14485
  16.64300  16.64970     0.051     14081     14491
  16.64216  16.64885     0.051     14085     14501
  16.64132  16.64792     0.051     14085     14507
  16.64048  16.64702     0.051     14088     14505
  16.63964  16.64612     0.051     14096     14522
  16.63880  16.64521     0.051     14091     14518
  16.63796  16.64436     0.051     14107     14544
  16.63712  16.64354     0.051     14101     14541
  16.63628  16.64274     0.051     14100     14550
  16.63544  16.64202     0.051     14112     14553
  16.63460  16.64133     0.051     14108     14563
  16.63376  16.64060     0.051     14117     14572
  16.63292  16.63985     0.051     14109     14569
  16.63208  16.63901     0.051     14128     14592
  16.63124  16.63809     0.051     14116     14584
  16.63040  16.63719     0.051     14130     14601
  16.62956  16.63628     0.051     14126     14604
  16.62872  16.63536     0.051     14123     14604
  16.62788  16.63450     0.051     14131     14618
  16.62704  16.63367     0.051     14124     14620
  16.62620  16.63287     0.051     14138     14633
  16.62536  16.63214     0.051     14134     14640
  16.62452  16.63144     0.051     14140     14641
  16.62368  16.63071     0.051     14143     14655
  16.62284  16.62997     0.051     14144     14655
  16.62200  16.62915     0.051     14151     14671
  16.62116  16.62824     0.051     14144     14665
  16.62032  16.62733     0.051     14160     14683
  16.61948  16.62643     0.051     14148     14676
  16.61864  16.62550     0.051     14158     14692
  16.61780  16.62463     0.051     14157     14698
  16.61696  16.62379     0.051     14161     14703
  16.61612  16.62298     0.051     14163     14712
  16.61528  16.62224     0.051     14161     14712
  16.61444  16.62154     0.051     14175     14732
  16.61360  16.62081     0.051     14164     14725
  16.61276  16.62007     0.051     14172     14741
  16.61192  16.61927     0.051     14176     14745
  16.61108  16.61837     0.051     14168     14744
  16.61024  16.61746     0.051     14179     14757
  16.60940  16.61656     0.051     14173     14749
  16.60856  16.61563     0.051     14178     14762
  16.60772  16.61475     0.051     14171     14761
  16.60688  16.61392     0.051     14180     14772
  16.60604  16.61310     0.051     14174     14773
  16.60520  16.61235     0.051     14176     14779
  16.60436  16.61165     0.051     14182     14788
  16.60352  16.61093     0.051     14172     14783
  16.60268  16.61019     0.051     14182     14799
  16.60184  16.60941     0.051     14166     14791
  16.60100  16.60852     0.051     14179     14803
  16.60016  16.60760     0.051     14181     14812
  16.59932  16.60670     0.051     14175     14814
  16.59848  16.60578     0.051     14185     14829
  16.59764  16.60489     0.051     14179     14822
  16.59680  16.60406     0.051     14188     14841
  16.59596  16.60323     0.051     14186     14838
  16.59512  16.60246     0.051     14192     14850
  16.59428  16.60176     0.051     14197     14851
  16.59344  16.60105     0.051     14194     14859
  16.59260  16.60031     0.051     14200     14873
  16.59176  16.59954     0.051     14197     14867
  16.59092  16.59866     0.051     14210     14890
  16.59008  16.59773     0.051     14209     14891
  16.58924  16.59682     0.051     14215     14906
  16.58840  16.59590     0.051     14213     14913
  16.58756  16.59499     0.051     14218     14913
  16.58672  16.59415     0.051     14226     14930
  16.58588  16.59332     0.051     14220     14927
  16.58504  16.59254     0.051     14231     14944
  16.58420  16.59184     0.051     14224     14940
  16.58336  16.59113     0.051     14233     14956
  16.58252  16.59039     0.051     14235     14962
  16.58168  16.58963     0.051     14233     14968
  16.58084  16.58877     0.051     14243     14976
  16.58000  16.58784     0.051     14240     14980
  16.57916  16.58695     0.051     14253     14995
  16.57832  16.58603     0.051     14244     14986
  16.57748  16.58512     0.051     14250     15005
  16.57664  16.58428     0.051     14252     15010
  16.57580  16.58344     0.051     14252     15012
  16.57496  16.58266     0.051     14259     15024
  16.57412  16.58195     0.051     14255     15024
  16.57328  16.58124     0.051     14266     15038
  16.57244  16.58050     0.051     14259     15038
  16.57160  16.57975     0.051     14275     15052
  16.57076  16.57891     0.051     14275     15057
  16.56992  16.57799     0.051     14266     15061
  16.56908  16.57709     0.051     14278     15074
  16.56824  16.57618     0.051     14270     15076
  16.56740  16.57526     0.051     14282     15091
  16.56656  16.57440     0.051     14278     15087
  16.56572  16.57357     0.051     14287     15103
  16.56488  16.57278     0.051     14287     15105
  16.56404  16.57205     0.051     14284     15102
  16.56320  16.57135     0.051     14296     15129
  16.56236  16.57061     0.051     14290     15121
  16.56152  16.56986     0.051     14295     15135
  16.56068  16.56903     0.051     14296     15141
  16.55984  16.56810     0.051     14308     15154
  16.55900  16.56719     0.051     14303     15158
  16.55816  16.56628     0.051     14303     15161
  16.55732  16.56536     0.051     14316     15176
  16.55648  16.56450     0.051     14305     15170
  16.55564  16.56366     0.051     14318     15190
  16.55480  16.56286     0.051     14313     15190
  16.55396  16.56213     0.051     14319     15206
  16.55312  16.56143     0.051     14323     15201
  16.55228  16.56069     0.051     14321     15212
  16.55144  16.55995     0.051     14334     15223
  16.55060  16.55914     0.051     14326     15227
  16.54976  16.55823     0.051     14339     15242
  16.54892  16.55732     0.051     14328     15233
  16.54808  16.55641     0.051     14342     15254
  16.54724  16.55549     0.051     14337     15260
  16.54640  16.55461     0.051     14343     15262
  16.54556  16.55378     0.051     14348     15275
  16.54472  16.55297     0.051     14342     15274
  16.54388  16.55223     0.051     14358     15292
  16.54304  16.55154     0.051     14346     15288
  16.54220  16.55081     0.051     14362     15300
  16.54136  16.55007     0.051     14360     15307
  16.54052  16.54928     0.051     14361     15314
  16.53968  16.54838     0.051     14369     15324
  16.53884  16.54746     0.051     14364     15320
  16.53800  16.54656     0.051     14377     15344
  16.53716  16.54563     0.051     14371     15342
  16.53632  16.54475     0.051     14379     15357
  16.53548  16.54391     0.051     14380     15357
  16.53464  16.54309     0.051     14382     15369
  16.53380  16.54233     0.051     14390     15381
  16.53296  16.54163     0.051     14384     15376
  16.53212  16.54091     0.051     14397     15394
  16.53128  16.54016     0.051     14392     15397
  16.53044  16.53937     0.051     14400     15407
  16.52960  16.53847     0.051     14397     15410
  16.52876  16.53755     0.051     14397     15416
  16.52792  16.53665     0.051     14403     15431
  16.52708  16.53573     0.051     14397     15423
  16.52624  16.53484     0.051     14413     15443
  16.52540  16.53400     0.051     14399     15441
  16.52456  16.53318     0.051     14412     15455
  16.52372  16.53242     0.051     14416     15457
  16.52288  16.53172     0.051     14416     15463
  16.52204  16.53100     0.051     14423     15478
  16.52120  16.53026     0.051     14420     15480
  16.52036  16.52949     0.051     14432     15494
  16.51952  16.52862     0.051     14423     15495
  16.51868  16.52769     0.051     14432     15509
  16.51784  16.52679     0.051     14431     15516
  16.51700  16.52587     0.051     14432     15518
  16.51616  16.52498     0.051     14443     15529
  16.51532  16.52414     0.051     14437     15531
  16.51448  16.52331     0.051     14450     15548
  16.51364  16.52254     0.051     14441     15548
  16.51280  16.52184     0.051     14449     15557
  16.51196  16.52112     0.051     14452     15563
  16.51112  16.52039     0.051     14453     15573
  16.51028  16.51963     0.051     14463     15581
  16.50944  16.51876     0.051     14451     15577
  16.50860  16.51784     0.051     14462     15594
  16.50776  16.51694     0.051     14456     15592
  16.50692  16.51602     0.051     14467     15605
  16.50608  16.51511     0.051     14470     15616
  16.50524  16.51426     0.051     14466     15613
  16.50440  16.51342     0.051     14476     15633
  16.50356  16.51263     0.051     14471     15630
  16.50272  16.51192     0.051     14481     15638
  16.50188  16.51121     0.051     14470     15633
  16.50104  16.51047     0.051     14488     15669
  16.50020  16.50972     0.051     14485     15663
  16.49936  16.50887     0.051     14481     15670
  16.49852  16.50795     0.051     14489     15678
  16.49768  16.50705     0.051     14489     15679
  16.49684  16.50614     0.051     14499     15698
  16.49600  16.50522     0.051     14489     15692
  16.49516  16.50437     0.051     14503     15709
  16.49432  16.50354     0.051     14503     15711
  16.49348  16.50275     0.051     14499     15715
  16.49264  16.50204     0.051     14505     15729
  16.49180  16.50133     0.051     14501     15728
  16.49096  16.50060     0.051     14514     15749
  16.49012  16.49985     0.051     14509     15747
  16.48928  16.49902     0.051     14521     15758
  16.48844  16.49810     0.051     14516     15762
  16.48760  16.49719     0.051     14519     15774
  16.48676  16.49629     0.051     14524     15781
  16.48592  16.49536     0.051     14516     15780
  16.48508  16.49451     0.051     14531     15796
  16.48424  16.49368     0.051     14526     15791
  16.48340  16.49288     0.051     14538     15815
  16.48256  16.49214     0.051     14535     15817
  16.48172  16.49144     0.051     14540     15818
  16.48088  16.49071     0.051     14548     15835
  16.48004  16.48996     0.051     14538     15829
  16.47920  16.48915     0.051     14555     15852
  16.47836  16.48823     0.051     14540     15843
  16.47752  16.48732     0.051     14560     15863
  16.47668  16.48641     0.051     14548     15857
