  9809     SPring-8 14b2 
 Ni-K_Ni-foil_S  13.11.27 04:47 - 13.11.27 04:48
 Ni-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 28.38767 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4486
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       28.25000  22.55000    -0.001270       0.01      4486
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   165.500   111.100
  28.01251  28.00703     0.010       857      1096
  28.01124  28.00560     0.010       861      1101
  28.00997  28.00423     0.010       859      1100
  28.00870  28.00292     0.010       855      1095
  28.00743  28.00171     0.010       858      1098
  28.00616  28.00058     0.010       856      1096
  28.00489  27.99946     0.010       860      1102
  28.00362  27.99821     0.010       859      1101
  28.00235  27.99681     0.010       861      1103
  28.00108  27.99539     0.010       859      1101
  27.99981  27.99402     0.010       858      1099
  27.99854  27.99271     0.010       860      1101
  27.99727  27.99152     0.010       860      1103
  27.99600  27.99040     0.010       857      1098
  27.99473  27.98926     0.010       861      1104
  27.99346  27.98796     0.010       867      1112
  27.99219  27.98655     0.010       860      1104
  27.99092  27.98513     0.010       858      1101
  27.98965  27.98376     0.010       862      1105
  27.98838  27.98248     0.010       863      1109
  27.98711  27.98131     0.010       860      1103
  27.98584  27.98019     0.010       863      1109
  27.98457  27.97904     0.010       865      1111
  27.98330  27.97772     0.010       866      1113
  27.98203  27.97630     0.010       866      1112
  27.98076  27.97489     0.010       864      1112
  27.97949  27.97353     0.010       867      1113
  27.97822  27.97227     0.010       865      1112
  27.97695  27.97110     0.010       867      1114
  27.97568  27.96999     0.010       868      1116
  27.97441  27.96880     0.010       870      1117
  27.97314  27.96745     0.010       864      1112
  27.97187  27.96602     0.010       870      1119
  27.97060  27.96462     0.010       864      1112
  27.96933  27.96328     0.010       867      1115
  27.96806  27.96203     0.010       874      1124
  27.96679  27.96088     0.010       868      1118
  27.96552  27.95977     0.010       869      1120
  27.96425  27.95855     0.010       872      1123
  27.96298  27.95718     0.010       869      1118
  27.96171  27.95575     0.010       869      1120
  27.96044  27.95437     0.010       869      1118
  27.95917  27.95305     0.010       871      1123
  27.95790  27.95182     0.010       876      1128
  27.95663  27.95070     0.010       871      1120
  27.95536  27.94958     0.010       873      1125
  27.95409  27.94833     0.010       875      1129
  27.95282  27.94695     0.010       869      1121
  27.95155  27.94552     0.010       876      1130
  27.95028  27.94413     0.010       874      1129
  27.94901  27.94282     0.010       872      1125
  27.94774  27.94162     0.010       878      1133
  27.94647  27.94049     0.010       875      1129
  27.94520  27.93936     0.010       877      1134
  27.94393  27.93807     0.010       875      1129
  27.94266  27.93667     0.010       874      1130
  27.94139  27.93524     0.010       879      1134
  27.94012  27.93386     0.010       874      1131
  27.93885  27.93256     0.010       878      1134
  27.93758  27.93138     0.010       882      1139
  27.93631  27.93026     0.010       876      1133
  27.93504  27.92911     0.010       877      1133
  27.93377  27.92780     0.010       880      1138
  27.93250  27.92639     0.010       879      1136
  27.93123  27.92499     0.010       879      1137
  27.92996  27.92362     0.010       881      1140
  27.92869  27.92235     0.010       882      1141
  27.92742  27.92119     0.010       882      1142
  27.92615  27.92008     0.010       878      1137
  27.92488  27.91891     0.010       880      1138
  27.92361  27.91757     0.010       883      1143
  27.92234  27.91614     0.010       882      1143
  27.92107  27.91474     0.010       884      1146
  27.91980  27.91339     0.010       884      1145
  27.91853  27.91213     0.010       885      1148
  27.91726  27.91098     0.010       884      1145
  27.91599  27.90986     0.010       882      1145
  27.91472  27.90866     0.010       884      1146
  27.91345  27.90730     0.010       884      1147
  27.91218  27.90586     0.010       889      1152
  27.91091  27.90447     0.010       891      1156
  27.90964  27.90313     0.010       883      1147
  27.90837  27.90189     0.010       889      1154
  27.90710  27.90076     0.010       887      1150
  27.90583  27.89965     0.010       881      1147
  27.90456  27.89842     0.010       893      1157
  27.90329  27.89705     0.010       889      1156
  27.90202  27.89562     0.010       889      1156
  27.90075  27.89424     0.010       891      1157
  27.89948  27.89292     0.010       886      1151
  27.89821  27.89171     0.010       891      1157
  27.89694  27.89059     0.010       886      1155
  27.89567  27.88946     0.010       892      1159
  27.89440  27.88819     0.010       895      1166
  27.89313  27.88680     0.010       890      1158
  27.89186  27.88537     0.010       894      1164
  27.89059  27.88399     0.010       893      1161
  27.88932  27.88269     0.010       889      1157
  27.88805  27.88150     0.010       893      1164
  27.88678  27.88038     0.010       893      1162
  27.88551  27.87923     0.010       898      1169
  27.88424  27.87793     0.010       895      1166
  27.88297  27.87652     0.010       895      1166
  27.88170  27.87510     0.010       896      1168
  27.88043  27.87373     0.010       894      1166
  27.87916  27.87245     0.010       894      1164
  27.87789  27.87128     0.010       898      1169
  27.87662  27.87017     0.010       899      1172
  27.87535  27.86901     0.010       900      1175
  27.87408  27.86770     0.010       896      1168
  27.87281  27.86628     0.010       899      1173
  27.87154  27.86487     0.010       900      1174
  27.87027  27.86352     0.010       894      1170
  27.86900  27.86226     0.010       902      1178
  27.86773  27.86110     0.010       901      1178
  27.86646  27.85999     0.010       901      1176
  27.86519  27.85880     0.010       904      1179
  27.86392  27.85745     0.010       898      1175
  27.86265  27.85602     0.010       899      1175
  27.86138  27.85462     0.010       902      1179
  27.86011  27.85328     0.010       902      1176
  27.85884  27.85203     0.010       906      1184
  27.85757  27.85088     0.010       904      1182
  27.85630  27.84976     0.010       905      1183
  27.85503  27.84855     0.010       905      1184
  27.85376  27.84718     0.010       903      1180
  27.85249  27.84574     0.010       902      1181
  27.85122  27.84436     0.010       907      1187
  27.84995  27.84304     0.010       904      1184
  27.84868  27.84182     0.010       906      1188
  27.84741  27.84069     0.010       910      1192
  27.84614  27.83957     0.010       906      1187
  27.84487  27.83833     0.010       907      1189
  27.84360  27.83695     0.010       904      1188
  27.84233  27.83552     0.010       908      1189
  27.84106  27.83414     0.010       909      1193
  27.83979  27.83283     0.010       909      1191
  27.83852  27.83162     0.010       915      1199
  27.83725  27.83050     0.010       907      1190
  27.83598  27.82937     0.010       910      1193
  27.83471  27.82809     0.010       913      1199
  27.83344  27.82669     0.010       907      1190
  27.83217  27.82527     0.010       911      1195
  27.83090  27.82389     0.010       915      1203
  27.82963  27.82260     0.010       911      1195
  27.82836  27.82141     0.010       916      1202
  27.82709  27.82029     0.010       912      1198
  27.82582  27.81914     0.010       912      1200
  27.82455  27.81783     0.010       917      1203
  27.82328  27.81643     0.010       910      1197
  27.82201  27.81502     0.010       917      1204
  27.82074  27.81365     0.010       921      1210
  27.81947  27.81238     0.010       913      1203
  27.81820  27.81121     0.010       918      1205
  27.81693  27.81011     0.010       916      1205
  27.81566  27.80894     0.010       914      1200
  27.81439  27.80762     0.010       918      1206
  27.81312  27.80619     0.010       918      1205
  27.81185  27.80479     0.010       922      1214
  27.81058  27.80343     0.010       920      1212
  27.80931  27.80217     0.010       918      1208
  27.80804  27.80102     0.010       918      1207
  27.80677  27.79991     0.010       917      1209
  27.80550  27.79871     0.010       920      1211
  27.80423  27.79735     0.010       921      1213
  27.80296  27.79592     0.010       920      1212
  27.80169  27.79453     0.010       925      1218
  27.80042  27.79318     0.010       921      1213
  27.79915  27.79194     0.010       925      1218
  27.79788  27.79080     0.010       916      1209
  27.79661  27.78969     0.010       921      1215
  27.79534  27.78847     0.010       928      1222
  27.79407  27.78709     0.010       923      1218
  27.79280  27.78567     0.010       923      1218
  27.79153  27.78428     0.010       928      1224
  27.79026  27.78296     0.010       923      1217
  27.78899  27.78174     0.010       925      1221
  27.78772  27.78061     0.010       922      1218
  27.78645  27.77949     0.010       926      1221
  27.78518  27.77823     0.010       930      1226
  27.78391  27.77683     0.010       926      1223
  27.78264  27.77540     0.010       928      1226
  27.78137  27.77402     0.010       929      1226
  27.78010  27.77272     0.010       924      1221
  27.77883  27.77152     0.010       927      1225
  27.77756  27.77039     0.010       929      1229
  27.77629  27.76925     0.010       932      1231
  27.77502  27.76795     0.010       934      1234
  27.77375  27.76654     0.010       931      1231
  27.77248  27.76512     0.010       929      1227
  27.77121  27.76375     0.010       931      1231
  27.76994  27.76246     0.010       935      1237
  27.76867  27.76129     0.010       929      1230
  27.76740  27.76018     0.010       935      1236
  27.76613  27.75902     0.010       931      1236
  27.76486  27.75771     0.010       938      1240
  27.76359  27.75629     0.010       934      1238
  27.76232  27.75488     0.010       933      1233
  27.76105  27.75353     0.010       934      1238
  27.75978  27.75226     0.010       935      1237
  27.75851  27.75110     0.010       936      1238
  27.75724  27.74998     0.010       939      1245
  27.75597  27.74879     0.010       937      1242
  27.75470  27.74744     0.010       935      1240
  27.75343  27.74601     0.010       936      1240
  27.75216  27.74461     0.010       936      1245
  27.75089  27.74327     0.010       935      1241
  27.74962  27.74202     0.010       938      1244
  27.74835  27.74088     0.010       942      1252
  27.74708  27.73976     0.010       940      1247
  27.74581  27.73853     0.010       937      1245
  27.74454  27.73716     0.010       941      1251
  27.74327  27.73573     0.010       940      1247
  27.74200  27.73434     0.010       940      1248
  27.74073  27.73302     0.010       944      1255
  27.73946  27.73180     0.010       944      1254
  27.73819  27.73067     0.010       946      1256
  27.73692  27.72956     0.010       942      1252
  27.73565  27.72832     0.010       940      1250
  27.73438  27.72693     0.010       947      1259
  27.73311  27.72550     0.010       940      1249
  27.73184  27.72412     0.010       948      1262
  27.73057  27.72281     0.010       945      1259
  27.72930  27.72160     0.010       947      1260
  27.72803  27.72048     0.010       948      1263
  27.72676  27.71934     0.010       943      1256
  27.72549  27.71806     0.010       944      1256
  27.72422  27.71666     0.010       948      1262
  27.72295  27.71524     0.010       947      1262
  27.72168  27.71386     0.010       950      1265
  27.72041  27.71256     0.010       950      1265
  27.71914  27.71138     0.010       950      1266
  27.71787  27.71025     0.010       953      1268
  27.71660  27.70910     0.010       945      1260
  27.71533  27.70779     0.010       949      1264
  27.71406  27.70637     0.010       956      1272
  27.71279  27.70496     0.010       952      1268
  27.71152  27.70361     0.010       953      1271
  27.71025  27.70234     0.010       953      1270
  27.70898  27.70117     0.010       951      1270
  27.70771  27.70006     0.010       954      1272
